state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,margin_dem,margin_gop,pct_dem,pct_gop,dem_diff,gop_diff,winner
Alabama,01001,Autauga,19838,7503,27770,-12335,12335,27.0,71.0,-44.0,44.0,gop
Alabama,01003,Baldwin,83544,24578,109679,-58966,58966,22.0,76.0,-54.0,54.0,gop
Alabama,01005,Barbour,5622,4816,10518,-806,806,46.0,53.0,-7.0,7.0,gop
Alabama,01007,Bibb,7525,1986,9595,-5539,5539,21.0,78.0,-57.0,57.0,gop
Alabama,01009,Blount,24711,2640,27588,-22071,22071,10.0,90.0,-80.0,80.0,gop
Alabama,01011,Bullock,1146,3446,4613,2300,-2300,75.0,25.0,50.0,-50.0,dem
Alabama,01013,Butler,5458,3965,9488,-1493,1493,42.0,58.0,-16.0,16.0,gop
Alabama,01015,Calhoun,35101,15216,50983,-19885,19885,30.0,69.0,-39.0,39.0,gop
Alabama,01017,Chambers,8753,6365,15284,-2388,2388,42.0,57.0,-15.0,15.0,gop
Alabama,01019,Cherokee,10583,1624,12301,-8959,8959,13.0,86.0,-73.0,73.0,gop
Alabama,01021,Chilton,16085,3073,19310,-13012,13012,16.0,83.0,-67.0,67.0,gop
Alabama,01023,Choctaw,4296,3127,7464,-1169,1169,42.0,58.0,-16.0,16.0,gop
Alabama,01025,Clarke,7324,5755,13135,-1569,1569,44.0,56.0,-12.0,12.0,gop
Alabama,01027,Clay,5601,1267,6930,-4334,4334,18.0,81.0,-63.0,63.0,gop
Alabama,01029,Cleburne,6484,675,7227,-5809,5809,9.0,90.0,-81.0,81.0,gop
Alabama,01031,Coffee,16899,5076,22275,-11823,11823,23.0,76.0,-53.0,53.0,gop
Alabama,01033,Colbert,19203,8343,27886,-10860,10860,30.0,69.0,-39.0,39.0,gop
Alabama,01035,Conecuh,3442,2966,6441,-476,476,46.0,53.0,-7.0,7.0,gop
Alabama,01037,Coosa,3631,1796,5479,-1835,1835,33.0,66.0,-33.0,33.0,gop
Alabama,01039,Covington,14586,2721,17430,-11865,11865,16.0,84.0,-68.0,68.0,gop
Alabama,01041,Crenshaw,4864,1700,6617,-3164,3164,26.0,74.0,-48.0,48.0,gop
Alabama,01043,Cullman,36880,4478,41851,-32402,32402,11.0,88.0,-77.0,77.0,gop
Alabama,01045,Dale,14303,5170,19738,-9133,9133,26.0,72.0,-46.0,46.0,gop
Alabama,01047,Dallas,5524,12230,17864,6706,-6706,68.0,31.0,37.0,-37.0,dem
Alabama,01049,DeKalb,24767,4281,29356,-20486,20486,15.0,84.0,-69.0,69.0,gop
Alabama,01051,Elmore,30164,10367,41030,-19797,19797,25.0,74.0,-49.0,49.0,gop
Alabama,01053,Escambia,10869,4918,15910,-5951,5951,31.0,68.0,-37.0,37.0,gop
Alabama,01055,Etowah,35528,11567,47728,-23961,23961,24.0,74.0,-50.0,50.0,gop
Alabama,01057,Fayette,7300,1395,8766,-5905,5905,16.0,83.0,-67.0,67.0,gop
Alabama,01059,Franklin,10376,2086,12578,-8290,8290,17.0,82.0,-65.0,65.0,gop
Alabama,01061,Geneva,10848,1595,12545,-9253,9253,13.0,86.0,-73.0,73.0,gop
Alabama,01063,Greene,875,3884,4775,3009,-3009,81.0,18.0,63.0,-63.0,dem
Alabama,01065,Hale,3190,4687,7922,1497,-1497,59.0,40.0,19.0,-19.0,dem
Alabama,01067,Henry,6607,2606,9298,-4001,4001,28.0,71.0,-43.0,43.0,gop
Alabama,01069,Houston,32618,12917,46173,-19701,19701,28.0,71.0,-43.0,43.0,gop
Alabama,01071,Jackson,19670,3717,23636,-15953,15953,16.0,83.0,-67.0,67.0,gop
Alabama,01073,Jefferson,138843,181688,325848,42845,-42845,56.0,43.0,13.0,-13.0,dem
Alabama,01075,Lamar,6174,978,7193,-5196,5196,14.0,86.0,-72.0,72.0,gop
Alabama,01077,Lauderdale,31721,11915,44339,-19806,19806,27.0,72.0,-45.0,45.0,gop
Alabama,01079,Lawrence,12322,3562,16031,-8760,8760,22.0,77.0,-55.0,55.0,gop
Alabama,01081,Lee,42221,27860,71449,-14361,14361,39.0,59.0,-20.0,20.0,gop
Alabama,01083,Limestone,34640,13672,49235,-20968,20968,28.0,70.0,-42.0,42.0,gop
Alabama,01085,Lowndes,1836,4972,6835,3136,-3136,73.0,27.0,46.0,-46.0,dem
Alabama,01087,Macon,1541,7108,8723,5567,-5567,81.0,18.0,63.0,-63.0,dem
Alabama,01089,Madison,102780,87286,194767,-15494,15494,45.0,53.0,-8.0,8.0,gop
Alabama,01091,Marengo,5343,5488,10900,145,-145,50.0,49.0,1.0,-1.0,dem
Alabama,01093,Marion,12205,1463,13807,-10742,10742,11.0,88.0,-77.0,77.0,gop
Alabama,01095,Marshall,33191,5943,39655,-27248,27248,15.0,84.0,-69.0,69.0,gop
Alabama,01097,Mobile,101243,79474,183164,-21769,21769,43.0,55.0,-12.0,12.0,gop
Alabama,01099,Monroe,6147,4455,10668,-1692,1692,42.0,58.0,-16.0,16.0,gop
Alabama,01101,Montgomery,33311,64529,99139,31218,-31218,65.0,34.0,31.0,-31.0,dem
Alabama,01103,Morgan,39664,13234,53722,-26430,26430,25.0,74.0,-49.0,49.0,gop
Alabama,01105,Perry,1339,3860,5230,2521,-2521,74.0,26.0,48.0,-48.0,dem
Alabama,01107,Pickens,5594,4022,9668,-1572,1572,42.0,58.0,-16.0,16.0,gop
Alabama,01109,Pike,8042,5636,13841,-2406,2406,41.0,58.0,-17.0,17.0,gop
Alabama,01111,Randolph,8559,2203,10837,-6356,6356,20.0,79.0,-59.0,59.0,gop
Alabama,01113,Russell,9864,11228,21329,1364,-1364,53.0,46.0,7.0,-7.0,dem
Alabama,01115,St. Clair,36166,7744,44441,-28422,28422,17.0,81.0,-64.0,64.0,gop
Alabama,01117,Shelby,79700,33268,114950,-46432,46432,29.0,69.0,-40.0,40.0,gop
Alabama,01119,Sumter,1598,4648,6291,3050,-3050,74.0,25.0,49.0,-49.0,dem
Alabama,01121,Talladega,22235,13138,35663,-9097,9097,37.0,62.0,-25.0,25.0,gop
Alabama,01123,Tallapoosa,14963,5859,20991,-9104,9104,28.0,71.0,-43.0,43.0,gop
Alabama,01125,Tuscaloosa,51117,37765,90172,-13352,13352,42.0,57.0,-15.0,15.0,gop
Alabama,01127,Walker,26002,4834,31170,-21168,21168,16.0,83.0,-67.0,67.0,gop
Alabama,01129,Washington,6564,2258,8876,-4306,4306,25.0,74.0,-49.0,49.0,gop
Alabama,01131,Wilcox,1833,4048,5903,2215,-2215,69.0,31.0,38.0,-38.0,dem
Alabama,01133,Winston,10195,974,11284,-9221,9221,9.0,90.0,-81.0,81.0,gop
Alaska,02901,District 1,3511,3477,7360,-34,34,47.0,48.0,-1.0,1.0,gop
Alaska,02902,District 2,3674,2104,6161,-1570,1570,34.0,60.0,-26.0,26.0,gop
Alaska,02903,District 3,6076,1903,8385,-4173,4173,23.0,72.0,-49.0,49.0,gop
Alaska,02904,District 4,4690,5345,10587,655,-655,50.0,44.0,6.0,-6.0,dem
Alaska,02905,District 5,4077,4204,8706,127,-127,48.0,47.0,1.0,-1.0,dem
Alaska,02906,District 6,5770,3272,9518,-2498,2498,34.0,61.0,-27.0,27.0,gop
Alaska,02907,District 7,7027,2215,9664,-4812,4812,23.0,73.0,-50.0,50.0,gop
Alaska,02908,District 8,7618,1953,9957,-5665,5665,20.0,77.0,-57.0,57.0,gop
Alaska,02909,District 9,7787,2769,11047,-5018,5018,25.0,70.0,-45.0,45.0,gop
Alaska,02910,District 10,8081,2727,11256,-5354,5354,24.0,72.0,-48.0,48.0,gop
Alaska,02911,District 11,7096,3130,10686,-3966,3966,29.0,66.0,-37.0,37.0,gop
Alaska,02912,District 12,7893,2957,11280,-4936,4936,26.0,70.0,-44.0,44.0,gop
Alaska,02913,District 13,4652,2666,7765,-1986,1986,34.0,60.0,-26.0,26.0,gop
Alaska,02914,District 14,6714,4261,11534,-2453,2453,37.0,58.0,-21.0,21.0,gop
Alaska,02915,District 15,2671,2622,5593,-49,49,47.0,48.0,-1.0,1.0,gop
Alaska,02916,District 16,3516,4274,8170,758,-758,52.0,43.0,9.0,-9.0,dem
Alaska,02917,District 17,2810,4136,7271,1326,-1326,57.0,39.0,18.0,-18.0,dem
Alaska,02918,District 18,2760,4681,7759,1921,-1921,60.0,36.0,24.0,-24.0,dem
Alaska,02919,District 19,1975,3118,5338,1143,-1143,58.0,37.0,21.0,-21.0,dem
Alaska,02920,District 20,2383,4881,7544,2498,-2498,65.0,32.0,33.0,-33.0,dem
Alaska,02921,District 21,3690,5414,9482,1724,-1724,57.0,39.0,18.0,-18.0,dem
Alaska,02922,District 22,4684,4553,9597,-131,131,47.0,49.0,-2.0,2.0,gop
Alaska,02923,District 23,3655,3810,7796,155,-155,49.0,47.0,2.0,-2.0,dem
Alaska,02924,District 24,5378,4736,10484,-642,642,45.0,51.0,-6.0,6.0,gop
Alaska,02925,District 25,4407,4600,9369,193,-193,49.0,47.0,2.0,-2.0,dem
Alaska,02926,District 26,5243,4558,20292,-685,685,22.0,26.0,-4.0,4.0,gop
Alaska,02927,District 27,4324,4844,19037,520,-520,25.0,23.0,2.0,-2.0,dem
Alaska,02928,District 28,6162,6264,25580,102,-102,24.0,24.0,0.0,0.0,dem
Alaska,02929,District 29,7464,2985,10784,-4479,4479,28.0,69.0,-41.0,41.0,gop
Alaska,02930,District 30,7180,2638,10226,-4542,4542,26.0,70.0,-44.0,44.0,gop
Alaska,02931,District 31,6971,5037,12481,-1934,1934,40.0,56.0,-16.0,16.0,gop
Alaska,02932,District 32,4440,3506,8361,-934,934,42.0,53.0,-11.0,11.0,gop
Alaska,02933,District 33,3059,7535,11016,4476,-4476,68.0,28.0,40.0,-40.0,dem
Alaska,02934,District 34,4543,5763,10794,1220,-1220,53.0,42.0,11.0,-11.0,dem
Alaska,02935,District 35,4769,5011,10149,242,-242,49.0,47.0,2.0,-2.0,dem
Alaska,02936,District 36,5114,3796,9292,-1318,1318,41.0,55.0,-14.0,14.0,gop
Alaska,02937,District 37,2358,2560,5168,202,-202,50.0,46.0,4.0,-4.0,dem
Alaska,02938,District 38,1737,3202,5299,1465,-1465,60.0,33.0,27.0,-27.0,dem
Alaska,02939,District 39,1939,3580,5930,1641,-1641,60.0,33.0,27.0,-27.0,dem
Alaska,02940,District 40,1994,2318,4628,324,-324,50.0,43.0,7.0,-7.0,dem
Arizona,04001,Apache,11442,23293,35183,11851,-11851,66.0,33.0,33.0,-33.0,dem
Arizona,04003,Cochise,35557,23732,60473,-11825,11825,39.0,59.0,-20.0,20.0,gop
Arizona,04005,Coconino,27052,44698,73346,17646,-17646,61.0,37.0,24.0,-24.0,dem
Arizona,04007,Gila,18377,8943,27678,-9434,9434,32.0,66.0,-34.0,34.0,gop
Arizona,04009,Graham,10749,4034,14996,-6715,6715,27.0,72.0,-45.0,45.0,gop
Arizona,04011,Greenlee,2433,1182,3688,-1251,1251,32.0,66.0,-34.0,34.0,gop
Arizona,04012,La Paz,5129,2236,7460,-2893,2893,30.0,69.0,-39.0,39.0,gop
