id,joke
0189hNRf2g,I'm tired of following my dreams. I'm just going to ask them where they are going and meet up with them later.
08EQZ8EQukb,Did you hear about the guy whose whole left side was cut off? He's all right now.
08xHQCdx5Ed,Why didn’t the skeleton cross the road? Because he had no guts.
0DQKB51oGlb,What did one nut say as he chased another nut?  I'm a cashew!
0DtrrOZDlyd,"Chances are if you' ve seen one shopping center, you've seen a mall."
0LuXvkq4Muc,"I knew I shouldn't steal a mixer from work, but it was a whisk I was willing to take."
0ga2EdN7prc,How come the stadium got hot after the game? Because all of the fans left.
0oO71TSv4Ed,Why was it called the dark ages? Because of all the knights. 
0oz51ozk3ob,A steak pun is a rare medium well done.
0ozAXv4Mmjb,Why did the tomato blush? Because it saw the salad dressing.
0wcFBQfiGBd,Did you hear the joke about the wandering nun? She was a roman catholic.
189xHQ7pOuc,What creature is smarter than a talking parrot? A spelling bee.
18Elj3EIYvc,I'll tell you what often gets over looked... garden fences.
18h3wcU8xAd,Why did the kid cross the playground? To get to the other slide.
1DIRSfx51Dd,Why do birds fly south for the winter? Because it's too far to walk.
1DQZDY0gVnb,"What is a centipedes's favorite Beatle song?  I want to hold your hand, hand, hand, hand..."
1DQZvXvX8Ed,My first time using an elevator was an uplifting experience. The second time let me down.
1DQZvcFBdib,"To be Frank, I'd have to change my name."
1Dt4M7Ufaxc,Slept like a log last night … woke up in the fireplace.
1T01LBXLuzd,Why does a Moon-rock taste better than an Earth-rock? Because it's a little meteor.
0189hNRf2g,I'm tired of following my dreams. I'm just going to ask them where they are going and meet up with them later.
08EQZ8EQukb,Did you hear about the guy whose whole left side was cut off? He's all right now.
08xHQCdx5Ed,Why didn’t the skeleton cross the road? Because he had no guts.
0DQKB51oGlb,What did one nut say as he chased another nut?  I'm a cashew!
0DtrrOZDlyd,"Chances are if you' ve seen one shopping center, you've seen a mall."
0LuXvkq4Muc,"I knew I shouldn't steal a mixer from work, but it was a whisk I was willing to take."
0ga2EdN7prc,How come the stadium got hot after the game? Because all of the fans left.
0oO71TSv4Ed,Why was it called the dark ages? Because of all the knights. 
0oz51ozk3ob,A steak pun is a rare medium well done.
0ozAXv4Mmjb,Why did the tomato blush? Because it saw the salad dressing.
0wcFBQfiGBd,Did you hear the joke about the wandering nun? She was a roman catholic.
189xHQ7pOuc,What creature is smarter than a talking parrot? A spelling bee.
18Elj3EIYvc,I'll tell you what often gets over looked... garden fences.
18h3wcU8xAd,Why did the kid cross the playground? To get to the other slide.
1DIRSfx51Dd,Why do birds fly south for the winter? Because it's too far to walk.
1DQZDY0gVnb,"What is a centipedes's favorite Beatle song?  I want to hold your hand, hand, hand, hand..."
1DQZvXvX8Ed,My first time using an elevator was an uplifting experience. The second time let me down.
1DQZvcFBdib,"To be Frank, I'd have to change my name."
1Dt4M7Ufaxc,Slept like a log last night … woke up in the fireplace.
1T01LBXLuzd,Why does a Moon-rock taste better than an Earth-rock? Because it's a little meteor.
1T0gqOZT0g,"I thought my wife was joking when she said she'd leave me if I didn't stop signing ""I'm A Believer""... Then I saw her face."
1TfNRKexAd,I’m only familiar with 25 letters in the English language. I don’t know why.
1gyI6EIRKBd,What do you call two barracuda fish?  A Pairacuda!
1gyskqz51ob,What did the father tomato say to the baby tomato whilst on a family walk? Ketchup.
1oGYLu4T7Ed,Why is Peter Pan always flying? Because he Neverlands.
1oOfFlOfaxc,What do you do on a remote island? Try and find the TV island it belongs to.
1wkqrcNCljb,Did you know that protons have mass? I didn't even know they were catholic.
2118E69prc,Dad I’m hungry’ … ‘Hi hungry I’m dad
218xkq49prc,I was fired from the keyboard factory yesterday.  I wasn't putting in enough shifts.
21DQnbaaxc,Whoever invented the knock-knock joke should get a no bell prize.
29ElG6p49pb,"Wife: Honey I’m pregnant.

Me: Well…. what do we do now?

Wife: Well, I guess we should go to a baby doctor.

Me: Hm.. I think I’d be a lot more comfortable going to an adult doctor."
2TnrHtcNuc,When will the little snake arrive? I don't know but he won't be long...
2TvX0wX89h,Why was Pavlov's beard so soft?  Because he conditioned it.
2gFIBX82Etc,Do I enjoy making courthouse puns? Guilty
2gaMZLBszsc,Why did the kid throw the clock out the window? He wanted to see time fly!
2giGYLeiGe,Hear about the new restaurant called Karma? There’s no menu: You get what you deserve.
2gii3LeN7Ed,Why couldn't the kid see the pirate movie? Because it was rated arrr!
2wP711DAdFd,"Man, I really love my furniture... me and my recliner go way back."
2wkykjyIYDd,"What did the traffic light say to the car as it passed? ""Don't look I'm changing!"""
31wHeNJB5ob,"My son is studying to be a surgeon, I just hope he makes the cut."
39Etc2orc,Why did the man run around his bed? Because he was trying to catch up on his sleep!
3E6MuHtH6h,What did one wall say to the other wall? I'll meet you at the corner!
3E6U8UKmbFd,Sometimes I tuck my knees into my chest and lean forward.  That’s just how I roll.
3El3TCYDYob,Conjunctivitis.com – now that’s a site for sore eyes.
3LRCIJY82wc,How many South Americans does it take to change a lightbulb? A Brazilian
3LmyXvsPfqc,I don't trust stairs. They're always up to something.
3gibFB5Muzd,Why was the robot angry? Because someone kept pressing his buttons!
3oG6UvX82g,Which is the fastest growing city in the world? Dublin'
3w5wAIRZTnb,A police officer caught two kids playing with a firework and a car battery. He charged one and let the other one off.
41LeN7EImjb,"What is the difference between ignorance and apathy?

I don't know and I don't care."
49xPmW82g,I went to a Foo Fighters Concert once... It was Everlong...
4EBsPZvP7h,Some people eat light bulbs. They say it's a nice light snack.
4ElyszXDdxc,I went to the store to pick up eight cans of sprite... when I got home I realized I'd only picked seven up
4MmjbFlbah,"I cut my finger chopping cheese, but I think that I may have grater problems."
4wHB51ws4Ed,Last night me and my girlfriend watched three DVDs back to back. Luckily I was the one facing the TV.
4wciyk3EBAd,"I got a reversible jacket for Christmas, I can't wait to see how it turns out."
51DAA5Tfaxc,What did Romans use to cut pizza before the rolling cutter was invented? Lil Caesars
5M7hF6EItzd,My pet mouse 'Elvis' died last night. He was caught in a trap..
5T08U8M79pb,Never take advice from electrons. They are always negative.
5TS7pbxcpb,Why are oranges the smartest fruit? Because they are made to concentrate. 
5h399pWLmyd,What did the beaver say to the tree? It's been nice gnawing you.
5hNJexX8prc,How do you fix a damaged jack-o-lantern? You use a pumpkin patch.
5hVDAAIRKuc,What did the late tomato say to the early tomato? I’ll ketch up
5hyP79pOCd,"I have kleptomania, but when it gets bad, I take something for it."
5oGYLZo4Tvc,"I used to be addicted to soap, but I'm clean now."
5oWLeFdxkjb,When is a door not a door? When it's ajar.
5wHexPC5hib,I made a belt out of watches once... It was a waist of time.
69xAsrHYDAd,"Why did Mozart kill all his chickens?
Because when he asked them who the best composer was, they'd all say ""Bach bach bach!""
"
6EYLBscN7wc,"This furniture store keeps emailing me, all I wanted was one night stand!"
6EdFBAsrcpb,How do you find Will Smith in the snow?  Look for fresh prints.
6MCYoGB5Tf,My sister bet me $15 that I couldn't build a car out of spaghetti. You should have seen the look on her face as I drove pasta.
6MR79MJ6h,My boss told me to have a good day... so I went home.
6MZobUfVKuc,"I just read a book about Stockholm syndrome. It was pretty bad at first, but by the end I liked it."
6MZor4T79pb,"Why do trees seem suspicious on sunny days? Dunno, they're just a bit shady."
6U0DIBAlbxc,"If at first you don't succeed, sky diving is not for you!"
