year,state,rate,deaths,url,name,usps,ap
2020,AL,14.2,654,/nchs/pressroom/states/alabama/al.htm,Alabama,AL,Ala.
2020,AK,7.3,55,/nchs/pressroom/states/alaska/ak.htm,Alaska,AK,Alaska
2020,AZ,7.5,525,/nchs/pressroom/states/arizona/az.htm,Arizona,AZ,Ariz.
2020,AR,13.0,371,/nchs/pressroom/states/arkansas/ar.htm,Arkansas,AR,Ark.
2020,CA,6.1,2368,/nchs/pressroom/states/california/ca.htm,California,CA,Calif.
2020,CO,5.8,336,/nchs/pressroom/states/colorado/co.htm,Colorado,CO,Colo.
2020,CT,4.6,152,/nchs/pressroom/states/connecticut/ct.htm,Connecticut,CT,Conn.
2020,DE,9.9,86,/nchs/pressroom/states/delaware/de.htm,Delaware,DE,Del.
2020,FL,7.8,1530,/nchs/pressroom/states/florida/fl.htm,Florida,FL,Fla.
2020,GA,10.5,1093,/nchs/pressroom/states/georgia/ga.htm,Georgia,GA,Ga.
2020,HI,3.3,46,/nchs/pressroom/states/hawaii/hi.htm,Hawaii,HI,Hawaii
2020,ID,2.5,42,/nchs/pressroom/states/idaho/id.htm,Idaho,ID,Idaho
2020,IL,11.2,1353,/nchs/pressroom/states/illinois/il.htm,Illinois,IL,Ill.
2020,IN,9.7,620,/nchs/pressroom/states/indiana/in.htm,Indiana,IN,Ind.
2020,IA,3.6,106,/nchs/pressroom/states/iowa/ia.htm,Iowa,IA,Iowa
2020,KS,7.0,195,/nchs/pressroom/states/kansas/ks.htm,Kansas,KS,Kan.
2020,KY,9.5,404,/nchs/pressroom/states/kentucky/ky.htm,Kentucky,KY,Ky.
2020,LA,19.9,873,/nchs/pressroom/states/louisiana/la.htm,Louisiana,LA,La.
2020,ME,1.6,21,/nchs/pressroom/states/maine/me.htm,Maine,ME,Maine
2020,MD,11.4,649,/nchs/pressroom/states/maryland/md.htm,Maryland,MD,Md.
2020,MA,2.7,183,/nchs/pressroom/states/massachusetts/ma.htm,Massachusetts,MA,Mass.
2020,MI,8.7,811,/nchs/pressroom/states/michigan/mi.htm,Michigan,MI,Mich.
2020,MN,3.6,198,/nchs/pressroom/states/minnesota/mn.htm,Minnesota,MN,Minn.
2020,MS,20.5,576,/nchs/pressroom/states/mississippi/ms.htm,Mississippi,MS,Miss.
2020,MO,14.0,803,/nchs/pressroom/states/missouri/mo.htm,Missouri,MO,Mo.
2020,MT,6.6,65,/nchs/pressroom/states/montana/mt.htm,Montana,MT,Mont.
2020,NE,4.1,76,/nchs/pressroom/states/nebraska/ne.htm,Nebraska,NE,Neb.
2020,NV,7.3,217,/nchs/pressroom/states/nevada/nv.htm,Nevada,NV,Nev.
2020,NH,0.0,14,/nchs/pressroom/states/newhampshire/nh.htm,New Hampshire,NH,N.H.
2020,NJ,4.3,362,/nchs/pressroom/states/newjersey/nj.htm,New Jersey,NJ,N.J.
2020,NM,10.8,216,/nchs/pressroom/states/newmexico/nm.htm,New Mexico,NM,N.M.
2020,NY,4.7,875,/nchs/pressroom/states/newyork/ny.htm,New York,NY,N.Y.
2020,NC,8.6,884,/nchs/pressroom/states/northcarolina/nc.htm,North Carolina,NC,N.C.
2020,ND,4.4,30,/nchs/pressroom/states/northdakota/nd.htm,North Dakota,ND,N.D.
2020,OH,9.1,1004,/nchs/pressroom/states/ohio/oh.htm,Ohio,OH,Ohio
2020,OK,9.0,342,/nchs/pressroom/states/oklahoma/ok.htm,Oklahoma,OK,Okla.
2020,OR,3.8,157,/nchs/pressroom/states/oregon/or.htm,Oregon,OR,Ore.
2020,PA,8.5,994,/nchs/pressroom/states/pennsylvania/pa.htm,Pennsylvania,PA,Pa.
2020,RI,3.0,29,/nchs/pressroom/states/rhodeisland/ri.htm,Rhode Island,RI,R.I.
2020,SC,12.7,622,/nchs/pressroom/states/southcarolina/sc.htm,South Carolina,SC,S.C.
2020,SD,6.5,52,/nchs/pressroom/states/southdakota/sd.htm,South Dakota,SD,S.D.
2020,TN,11.5,753,/nchs/pressroom/states/tennessee/tn.htm,Tennessee,TN,Tenn.
2020,TX,7.6,2212,/nchs/pressroom/states/texas/tx.htm,Texas,TX,Texas
2020,UT,2.9,95,/nchs/pressroom/states/utah/ut.htm,Utah,UT,Utah
2020,VT,0.0,14,/nchs/pressroom/states/vermont/vt.htm,Vermont,VT,Vt.
2020,VA,6.4,531,/nchs/pressroom/states/virginia/va.htm,Virginia,VA,Va.
2020,WA,4.2,322,/nchs/pressroom/states/washington/wa.htm,Washington,WA,Wash.
2020,WV,7.0,114,/nchs/pressroom/states/westvirginia/wv.htm,West Virginia,WV,W.Va.
2020,WI,6.1,334,/nchs/pressroom/states/wisconsin/wi.htm,Wisconsin,WI,Wis.
2020,WY,4.9,25,/nchs/pressroom/states/wyoming/wy.htm,Wyoming,WY,Wyo.
