affected_date_refugees,affected_refugees,date,cumsum
2022-02-24,84681,2022-02-24,84681
2022-02-25,108301,2022-02-25,192982
2022-02-26,148319,2022-02-26,341301
2022-02-27,168364,2022-02-27,509665
2022-02-28,162474,2022-02-28,672139
2022-03-01,166690,2022-03-01,838829
2022-03-02,194483,2022-03-02,1033312
2022-03-03,167905,2022-03-03,1201217
2022-03-04,172099,2022-03-04,1373316
2022-03-05,197520,2022-03-05,1570836
2022-03-06,209160,2022-03-06,1779996
2022-03-07,207660,2022-03-07,1987656
2022-03-08,185038,2022-03-08,2172694
2022-03-09,170843,2022-03-09,2343537
2022-03-10,135655,2022-03-10,2479192
2022-03-11,118268,2022-03-11,2597460
2022-03-12,115822,2022-03-12,2713282
2022-03-13,125317,2022-03-13,2838599
2022-03-14,113676,2022-03-14,2952275
2022-03-15,110820,2022-03-15,3063095
2022-03-16,106802,2022-03-16,3169897
2022-03-17,94157,2022-03-17,3264054
2022-03-18,82655,2022-03-18,3346709
2022-03-19,76757,2022-03-19,3423466
2022-03-20,66178,2022-03-20,3489644
