Legal City,Community,2020 Total Population,Hispanic or Latino,Not Hispanic or Latino:,"Not Hisp 
White alone","Not Hisp 
Black or African American alone","Not Hisp 
American Indian and Alaska Native alone","Not Hisp 
Asian alone","Not Hisp 
Native Hawaiian and Other Pacific Islander alone","Not Hisp 
Some Other Race alone","Not Hisp 
Two or more races"
Los Angeles,Adams-Normandie,7590,4947,2643,488,1431,6,424,0,56,238
Los Angeles,Alsace,10553,7584,2969,743,1628,13,240,0,90,255
Los Angeles,Angeles National Forest,11,1,10,8,1,0,0,0,0,1
Los Angeles,Angelino Heights,2431,1127,1304,800,58,5,344,3,9,85
Los Angeles,Arleta,31465,25501,5964,2324,264,49,2881,25,114,307
Los Angeles,Atwater Village,14435,6151,8284,4727,231,28,2704,14,61,519
Los Angeles,Baldwin Hills,30096,8200,21896,2562,16200,60,1231,33,321,1489
Los Angeles,Bel Air,7748,459,7289,5870,150,1,750,5,71,442
Los Angeles,Beverly Crest,11918,784,11134,9276,220,13,878,1,96,650
Los Angeles,Beverlywood,12975,1319,11656,9270,389,13,1132,5,168,679
Los Angeles,Boyle Heights,78612,72794,5818,2143,1187,101,1600,32,274,481
Los Angeles,Brentwood,30334,2316,28018,22861,466,16,2757,16,190,1712
Los Angeles,Brookside,720,103,617,342,79,0,157,0,7,32
Los Angeles,Cadillac-Corning,6086,3478,2608,1339,663,4,336,4,21,241
Los Angeles,Canoga Park,62627,35646,26981,13440,3203,86,7860,72,411,1909
Los Angeles,Carthay,14080,1344,12736,10109,554,23,1228,17,93,712
Los Angeles,Central,34738,31547,3191,443,1995,29,394,4,118,208
Los Angeles,Century City,13600,979,12621,9492,298,18,1957,13,78,765
Los Angeles,Century Palms/Cove,32671,23118,9553,359,8382,31,100,31,198,452
Los Angeles,Chatsworth,36838,10579,26259,15793,1782,53,6820,59,249,1503
Los Angeles,Cheviot Hills,9588,892,8696,6937,186,6,933,4,73,557
Los Angeles,Chinatown,8706,1935,6771,1019,713,24,4751,7,53,204
Los Angeles,Cloverdale/Cochran,13287,7470,5817,1608,2900,33,623,10,161,482
Los Angeles,Country Club Park,14016,5188,8828,2029,1101,23,5117,10,69,479
Los Angeles,Crenshaw District,13419,5541,7878,1248,5036,25,860,17,150,542
Los Angeles,Crestview,11310,1652,9658,6650,1226,21,895,7,197,662
Los Angeles,Del Rey,29261,10081,19180,12006,1354,47,3928,65,219,1561
Los Angeles,Downtown,40904,8963,31941,13163,5702,93,10471,73,340,2099
Los Angeles,Eagle Rock,36289,14196,22093,11698,626,99,7813,45,201,1611
Los Angeles,East Hollywood,24474,12015,12459,6839,821,41,3943,28,122,665
Los Angeles,Echo Park,13271,5784,7487,5082,306,36,1411,8,92,552
Los Angeles,El Sereno,38141,29749,8392,2817,737,121,4072,18,148,479
Los Angeles,Elysian Park,4709,1432,3277,961,172,11,1910,2,34,187
Los Angeles,Elysian Valley,8856,5304,3552,1547,100,20,1629,3,39,214
Los Angeles,Encino,45045,5180,39865,32272,1480,40,3277,34,305,2457
Los Angeles,Exposition,3169,1989,1180,315,619,6,102,0,28,110
Los Angeles,Exposition Park,42417,25411,17006,3645,8200,87,3629,44,296,1105
Los Angeles,Faircrest Heights,3642,1207,2435,970,827,5,396,20,28,189
Los Angeles,Figueroa Park Square,8558,4840,3718,134,3225,9,57,38,49,206
Los Angeles,Florence-Firestone,45781,36762,9019,512,7525,56,165,10,279,472
Los Angeles,Glassell Park,28146,14108,14038,6698,513,50,5624,23,156,974
Los Angeles,Gramercy Place,10601,2751,7850,201,7051,25,80,23,86,384
Los Angeles,Granada Hills,56970,18982,37988,24163,1788,97,9442,92,349,2057
Los Angeles,Green Meadows,21142,15676,5466,249,4672,30,97,29,113,276
Los Angeles,Hancock Park,16342,1974,14368,8757,599,13,4094,6,146,753
Los Angeles,Harbor City,28561,12360,16201,6181,3070,26,5488,214,116,1106
Los Angeles,Harbor Gateway,41093,23071,18022,3050,5934,65,7354,211,258,1150
Los Angeles,Harbor Pines,2571,1054,1517,955,112,2,324,7,11,106
Los Angeles,Harvard Heights,15806,11300,4506,856,1375,22,1893,7,92,261
Los Angeles,Harvard Park,38178,26400,11778,555,9800,53,218,31,303,818
Los Angeles,Highland Park,43093,26888,16205,8658,929,110,5021,18,261,1208
Los Angeles,Historic Filipinotown,11997,6541,5456,1378,433,4,3295,6,67,273
Los Angeles,Hollywood,65469,17871,47598,33768,4393,130,5256,73,756,3222
Los Angeles,Hollywood Hills,29679,3561,26118,20648,1295,43,2079,27,251,1775
Los Angeles,Hyde Park,29133,12118,17015,995,14048,81,370,17,287,1217
Los Angeles,Jefferson Park,7339,4724,2615,530,1429,7,304,13,67,265
