Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1647828642,2022-03-21T02:10:42Z,CES5864,"29.745804,106.672333",2025,157,17
1647828648,2022-03-21T02:10:48Z,CES5864,"29.750061,106.673866",2225,161,17
1647828654,2022-03-21T02:10:54Z,CES5864,"29.754364,106.675552",2425,165,19
1647828657,2022-03-21T02:10:57Z,CES5864,"29.756378,106.676506",2550,166,23
1647828660,2022-03-21T02:11:00Z,CES5864,"29.758425,106.677734",2650,166,26
1647828663,2022-03-21T02:11:03Z,CES5864,"29.760406,106.679092",2775,167,30
1647828669,2022-03-21T02:11:09Z,CES5864,"29.764206,106.682213",3025,168,36
1647828672,2022-03-21T02:11:12Z,CES5864,"29.7659,106.683792",3150,169,39
1647828676,2022-03-21T02:11:16Z,CES5864,"29.76828,106.686172",3275,169,40
1647828678,2022-03-21T02:11:18Z,CES5864,"29.769928,106.687813",3400,169,40
1647828681,2022-03-21T02:11:21Z,CES5864,"29.771118,106.688972",3475,169,40
1647828684,2022-03-21T02:11:24Z,CES5864,"29.773415,106.691193",3600,169,39
1647828687,2022-03-21T02:11:27Z,CES5864,"29.775284,106.692879",3700,169,39
1647828690,2022-03-21T02:11:30Z,CES5864,"29.777231,106.694481",3825,170,35
1647828697,2022-03-21T02:11:37Z,CES5864,"29.781282,106.697388",4025,172,31
1647828699,2022-03-21T02:11:39Z,CES5864,"29.78319,106.69873",4125,174,31
1647828703,2022-03-21T02:11:43Z,CES5864,"29.785984,106.700623",4250,174,30
1647828706,2022-03-21T02:11:46Z,CES5864,"29.788055,106.702072",4375,175,31
1647828709,2022-03-21T02:11:49Z,CES5864,"29.790174,106.703583",4475,175,31
1647828712,2022-03-21T02:11:52Z,CES5864,"29.79213,106.704926",4575,177,31
1647828715,2022-03-21T02:11:55Z,CES5864,"29.794085,106.706329",4675,177,31
1647828721,2022-03-21T02:12:01Z,CES5864,"29.799088,106.709938",4825,181,31
1647828727,2022-03-21T02:12:07Z,CES5864,"29.80344,106.713005",4925,190,31
1647828745,2022-03-21T02:12:25Z,CES5864,"29.817919,106.723343",5250,220,31
1647828760,2022-03-21T02:12:40Z,CES5864,"29.830395,106.732178",5500,242,31
1647828783,2022-03-21T02:13:03Z,CES5864,"29.854229,106.748978",6250,262,31
1647828811,2022-03-21T02:13:31Z,CES5864,"29.884369,106.770416",7350,279,34
1647828819,2022-03-21T02:13:39Z,CES5864,"29.89282,106.779625",7775,281,48
1647828823,2022-03-21T02:13:43Z,CES5864,"29.895401,106.783676",7950,281,53
1647828826,2022-03-21T02:13:46Z,CES5864,"29.89743,106.787483",8075,280,57
1647828829,2022-03-21T02:13:49Z,CES5864,"29.899105,106.791199",8200,282,61
1647828831,2022-03-21T02:13:51Z,CES5864,"29.900549,106.795082",8325,282,66
1647828835,2022-03-21T02:13:55Z,CES5864,"29.902039,106.800194",8450,283,69
1647828836,2022-03-21T02:13:56Z,CES5864,"29.902597,106.802513",8500,284,73
1647828841,2022-03-21T02:14:01Z,CES5864,"29.903435,106.807899",8675,284,74
1647828844,2022-03-21T02:14:04Z,CES5864,"29.903824,106.812408",8825,285,86
