start,end,day_count
2022-03-15T00:00:00.000Z,2022-03-16T00:00:00.000Z,13398
2022-03-16T00:00:00.000Z,2022-03-17T00:00:00.000Z,20474
2022-03-17T00:00:00.000Z,2022-03-18T00:00:00.000Z,10394
2022-03-18T00:00:00.000Z,2022-03-19T00:00:00.000Z,7059
2022-03-19T00:00:00.000Z,2022-03-20T00:00:00.000Z,7286
2022-03-20T00:00:00.000Z,2022-03-21T00:00:00.000Z,12104
2022-03-21T00:00:00.000Z,2022-03-22T00:00:00.000Z,6128
2022-03-22T00:00:00.000Z,2022-03-23T00:00:00.000Z,21306
2022-03-23T00:00:00.000Z,2022-03-24T00:00:00.000Z,7429
2022-03-24T00:00:00.000Z,2022-03-25T00:00:00.000Z,43775
2022-03-25T00:00:00.000Z,2022-03-26T00:00:00.000Z,41385
2022-03-26T00:00:00.000Z,2022-03-27T00:00:00.000Z,14350
2022-03-27T00:00:00.000Z,2022-03-28T00:00:00.000Z,14141
2022-03-28T00:00:00.000Z,2022-03-29T00:00:00.000Z,10630
2022-03-29T00:00:00.000Z,2022-03-30T00:00:00.000Z,10846
2022-03-30T00:00:00.000Z,2022-03-31T00:00:00.000Z,6364
2022-03-31T00:00:00.000Z,2022-04-01T00:00:00.000Z,6427
2022-04-01T00:00:00.000Z,2022-04-02T00:00:00.000Z,6694
2022-04-02T00:00:00.000Z,2022-04-03T00:00:00.000Z,6212
2022-04-03T00:00:00.000Z,2022-04-04T00:00:00.000Z,7307
2022-04-04T00:00:00.000Z,2022-04-05T00:00:00.000Z,7811
2022-04-05T00:00:00.000Z,2022-04-06T00:00:00.000Z,13022
2022-04-06T00:00:00.000Z,2022-04-07T00:00:00.000Z,8473
2022-04-07T00:00:00.000Z,2022-04-08T00:00:00.000Z,7523
2022-04-08T00:00:00.000Z,2022-04-09T00:00:00.000Z,5605
2022-04-09T00:00:00.000Z,2022-04-10T00:00:00.000Z,4751
2022-04-10T00:00:00.000Z,2022-04-11T00:00:00.000Z,5730
2022-04-11T00:00:00.000Z,2022-04-12T00:00:00.000Z,4741
2022-04-12T00:00:00.000Z,2022-04-13T00:00:00.000Z,8057
2022-04-13T00:00:00.000Z,2022-04-14T00:00:00.000Z,9437
2022-04-14T00:00:00.000Z,2022-04-14T18:29:05.000Z,6998
2022-02-12T00:00:00.000Z,2022-02-13T00:00:00.000Z,12723
2022-02-13T00:00:00.000Z,2022-02-14T00:00:00.000Z,9489
2022-02-14T00:00:00.000Z,2022-02-15T00:00:00.000Z,5104
2022-02-15T00:00:00.000Z,2022-02-16T00:00:00.000Z,13387
2022-02-16T00:00:00.000Z,2022-02-17T00:00:00.000Z,8270
2022-02-17T00:00:00.000Z,2022-02-18T00:00:00.000Z,7576
2022-02-18T00:00:00.000Z,2022-02-19T00:00:00.000Z,14402
2022-02-19T00:00:00.000Z,2022-02-20T00:00:00.000Z,7602
2022-02-20T00:00:00.000Z,2022-02-21T00:00:00.000Z,6162
