start,end,day_count
2022-03-15T00:00:00.000Z,2022-03-16T00:00:00.000Z,2123
2022-03-16T00:00:00.000Z,2022-03-17T00:00:00.000Z,1843
2022-03-17T00:00:00.000Z,2022-03-18T00:00:00.000Z,3875
2022-03-18T00:00:00.000Z,2022-03-19T00:00:00.000Z,3193
2022-03-19T00:00:00.000Z,2022-03-20T00:00:00.000Z,1688
2022-03-20T00:00:00.000Z,2022-03-21T00:00:00.000Z,5727
2022-03-21T00:00:00.000Z,2022-03-22T00:00:00.000Z,2760
2022-03-22T00:00:00.000Z,2022-03-23T00:00:00.000Z,2140
2022-03-23T00:00:00.000Z,2022-03-24T00:00:00.000Z,3969
2022-03-24T00:00:00.000Z,2022-03-25T00:00:00.000Z,3119
2022-03-25T00:00:00.000Z,2022-03-26T00:00:00.000Z,2696
2022-03-26T00:00:00.000Z,2022-03-27T00:00:00.000Z,2405
2022-03-27T00:00:00.000Z,2022-03-28T00:00:00.000Z,27016
2022-03-28T00:00:00.000Z,2022-03-29T00:00:00.000Z,21286
2022-03-29T00:00:00.000Z,2022-03-30T00:00:00.000Z,10267
2022-03-30T00:00:00.000Z,2022-03-31T00:00:00.000Z,7239
2022-03-31T00:00:00.000Z,2022-04-01T00:00:00.000Z,8458
2022-04-01T00:00:00.000Z,2022-04-02T00:00:00.000Z,8464
2022-04-02T00:00:00.000Z,2022-04-03T00:00:00.000Z,9031
2022-04-03T00:00:00.000Z,2022-04-04T00:00:00.000Z,3381
2022-04-04T00:00:00.000Z,2022-04-05T00:00:00.000Z,4681
2022-04-05T00:00:00.000Z,2022-04-06T00:00:00.000Z,4684
2022-04-06T00:00:00.000Z,2022-04-07T00:00:00.000Z,3404
2022-04-07T00:00:00.000Z,2022-04-08T00:00:00.000Z,2575
2022-04-08T00:00:00.000Z,2022-04-09T00:00:00.000Z,2301
2022-04-09T00:00:00.000Z,2022-04-10T00:00:00.000Z,1388
2022-04-10T00:00:00.000Z,2022-04-11T00:00:00.000Z,2393
2022-04-11T00:00:00.000Z,2022-04-12T00:00:00.000Z,2005
2022-04-12T00:00:00.000Z,2022-04-13T00:00:00.000Z,2056
2022-04-13T00:00:00.000Z,2022-04-14T00:00:00.000Z,2691
2022-04-14T00:00:00.000Z,2022-04-14T18:48:34.000Z,1886
2022-02-12T00:00:00.000Z,2022-02-13T00:00:00.000Z,2284
2022-02-13T00:00:00.000Z,2022-02-14T00:00:00.000Z,5409
2022-02-14T00:00:00.000Z,2022-02-15T00:00:00.000Z,2713
2022-02-15T00:00:00.000Z,2022-02-16T00:00:00.000Z,1647
2022-02-16T00:00:00.000Z,2022-02-17T00:00:00.000Z,6851
2022-02-17T00:00:00.000Z,2022-02-18T00:00:00.000Z,4268
2022-02-18T00:00:00.000Z,2022-02-19T00:00:00.000Z,17979
2022-02-19T00:00:00.000Z,2022-02-20T00:00:00.000Z,6041
2022-02-20T00:00:00.000Z,2022-02-21T00:00:00.000Z,2082
2022-02-21T00:00:00.000Z,2022-02-22T00:00:00.000Z,2272
2022-02-22T00:00:00.000Z,2022-02-23T00:00:00.000Z,1917
2022-02-23T00:00:00.000Z,2022-02-24T00:00:00.000Z,4685
2022-02-24T00:00:00.000Z,2022-02-25T00:00:00.000Z,2714
2022-02-25T00:00:00.000Z,2022-02-26T00:00:00.000Z,4611
2022-02-26T00:00:00.000Z,2022-02-27T00:00:00.000Z,9926
2022-02-27T00:00:00.000Z,2022-02-28T00:00:00.000Z,5046
2022-02-28T00:00:00.000Z,2022-03-01T00:00:00.000Z,5798
2022-03-01T00:00:00.000Z,2022-03-02T00:00:00.000Z,1766
2022-03-02T00:00:00.000Z,2022-03-03T00:00:00.000Z,1936
2022-03-03T00:00:00.000Z,2022-03-04T00:00:00.000Z,2238
2022-03-04T00:00:00.000Z,2022-03-05T00:00:00.000Z,3910
2022-03-05T00:00:00.000Z,2022-03-06T00:00:00.000Z,2709
2022-03-06T00:00:00.000Z,2022-03-07T00:00:00.000Z,1586
2022-03-07T00:00:00.000Z,2022-03-08T00:00:00.000Z,1692
2022-03-08T00:00:00.000Z,2022-03-09T00:00:00.000Z,1577
2022-03-09T00:00:00.000Z,2022-03-10T00:00:00.000Z,1653
2022-03-10T00:00:00.000Z,2022-03-11T00:00:00.000Z,2220
2022-03-11T00:00:00.000Z,2022-03-12T00:00:00.000Z,2523
2022-03-12T00:00:00.000Z,2022-03-13T00:00:00.000Z,3179
2022-03-13T00:00:00.000Z,2022-03-14T00:00:00.000Z,2363
2022-03-14T00:00:00.000Z,2022-03-15T00:00:00.000Z,1995
2022-01-12T00:00:00.000Z,2022-01-13T00:00:00.000Z,6339
2022-01-13T00:00:00.000Z,2022-01-14T00:00:00.000Z,6272
2022-01-14T00:00:00.000Z,2022-01-15T00:00:00.000Z,3003
2022-01-15T00:00:00.000Z,2022-01-16T00:00:00.000Z,1803
2022-01-16T00:00:00.000Z,2022-01-17T00:00:00.000Z,1144
2022-01-17T00:00:00.000Z,2022-01-18T00:00:00.000Z,1337
2022-01-18T00:00:00.000Z,2022-01-19T00:00:00.000Z,1535
2022-01-19T00:00:00.000Z,2022-01-20T00:00:00.000Z,1703
2022-01-20T00:00:00.000Z,2022-01-21T00:00:00.000Z,2621
2022-01-21T00:00:00.000Z,2022-01-22T00:00:00.000Z,3152
2022-01-22T00:00:00.000Z,2022-01-23T00:00:00.000Z,2425
2022-01-23T00:00:00.000Z,2022-01-24T00:00:00.000Z,7354
2022-01-24T00:00:00.000Z,2022-01-25T00:00:00.000Z,8292
2022-01-25T00:00:00.000Z,2022-01-26T00:00:00.000Z,8441
2022-01-26T00:00:00.000Z,2022-01-27T00:00:00.000Z,7758
2022-01-27T00:00:00.000Z,2022-01-28T00:00:00.000Z,4124
2022-01-28T00:00:00.000Z,2022-01-29T00:00:00.000Z,2849
2022-01-29T00:00:00.000Z,2022-01-30T00:00:00.000Z,2450
2022-01-30T00:00:00.000Z,2022-01-31T00:00:00.000Z,1657
2022-01-31T00:00:00.000Z,2022-02-01T00:00:00.000Z,1790
2022-02-01T00:00:00.000Z,2022-02-02T00:00:00.000Z,2112
2022-02-02T00:00:00.000Z,2022-02-03T00:00:00.000Z,5186
2022-02-03T00:00:00.000Z,2022-02-04T00:00:00.000Z,18280
2022-02-04T00:00:00.000Z,2022-02-05T00:00:00.000Z,4625
2022-02-05T00:00:00.000Z,2022-02-06T00:00:00.000Z,3587
2022-02-06T00:00:00.000Z,2022-02-07T00:00:00.000Z,1946
2022-02-07T00:00:00.000Z,2022-02-08T00:00:00.000Z,1998
2022-02-08T00:00:00.000Z,2022-02-09T00:00:00.000Z,2354
2022-02-09T00:00:00.000Z,2022-02-10T00:00:00.000Z,1842
2022-02-10T00:00:00.000Z,2022-02-11T00:00:00.000Z,1683
2022-02-11T00:00:00.000Z,2022-02-12T00:00:00.000Z,3154
2021-12-12T00:00:00.000Z,2021-12-13T00:00:00.000Z,2231
2021-12-13T00:00:00.000Z,2021-12-14T00:00:00.000Z,1593
2021-12-14T00:00:00.000Z,2021-12-15T00:00:00.000Z,2819
2021-12-15T00:00:00.000Z,2021-12-16T00:00:00.000Z,3034
2021-12-16T00:00:00.000Z,2021-12-17T00:00:00.000Z,2098
2021-12-17T00:00:00.000Z,2021-12-18T00:00:00.000Z,2096
2021-12-18T00:00:00.000Z,2021-12-19T00:00:00.000Z,1992
2021-12-19T00:00:00.000Z,2021-12-20T00:00:00.000Z,2247
2021-12-20T00:00:00.000Z,2021-12-21T00:00:00.000Z,1599
2021-12-21T00:00:00.000Z,2021-12-22T00:00:00.000Z,3714
2021-12-22T00:00:00.000Z,2021-12-23T00:00:00.000Z,3584
2021-12-23T00:00:00.000Z,2021-12-24T00:00:00.000Z,2818
2021-12-24T00:00:00.000Z,2021-12-25T00:00:00.000Z,13165
2021-12-25T00:00:00.000Z,2021-12-26T00:00:00.000Z,19216
2021-12-26T00:00:00.000Z,2021-12-27T00:00:00.000Z,7032
2021-12-27T00:00:00.000Z,2021-12-28T00:00:00.000Z,2418
2021-12-28T00:00:00.000Z,2021-12-29T00:00:00.000Z,1511
2021-12-29T00:00:00.000Z,2021-12-30T00:00:00.000Z,1526
2021-12-30T00:00:00.000Z,2021-12-31T00:00:00.000Z,2217
2021-12-31T00:00:00.000Z,2022-01-01T00:00:00.000Z,2101
2022-01-01T00:00:00.000Z,2022-01-02T00:00:00.000Z,2324
2022-01-02T00:00:00.000Z,2022-01-03T00:00:00.000Z,2429
2022-01-03T00:00:00.000Z,2022-01-04T00:00:00.000Z,1822
2022-01-04T00:00:00.000Z,2022-01-05T00:00:00.000Z,1659
2022-01-05T00:00:00.000Z,2022-01-06T00:00:00.000Z,5103
2022-01-06T00:00:00.000Z,2022-01-07T00:00:00.000Z,3584
2022-01-07T00:00:00.000Z,2022-01-08T00:00:00.000Z,2969
2022-01-08T00:00:00.000Z,2022-01-09T00:00:00.000Z,1922
2022-01-09T00:00:00.000Z,2022-01-10T00:00:00.000Z,2976
2022-01-10T00:00:00.000Z,2022-01-11T00:00:00.000Z,1882
2022-01-11T00:00:00.000Z,2022-01-12T00:00:00.000Z,1723
2021-11-11T00:00:00.000Z,2021-11-12T00:00:00.000Z,4957
2021-11-12T00:00:00.000Z,2021-11-13T00:00:00.000Z,2840
2021-11-13T00:00:00.000Z,2021-11-14T00:00:00.000Z,2062
2021-11-14T00:00:00.000Z,2021-11-15T00:00:00.000Z,1757
2021-11-15T00:00:00.000Z,2021-11-16T00:00:00.000Z,3689
2021-11-16T00:00:00.000Z,2021-11-17T00:00:00.000Z,9298
2021-11-17T00:00:00.000Z,2021-11-18T00:00:00.000Z,7331
2021-11-18T00:00:00.000Z,2021-11-19T00:00:00.000Z,2873
2021-11-19T00:00:00.000Z,2021-11-20T00:00:00.000Z,26408
2021-11-20T00:00:00.000Z,2021-11-21T00:00:00.000Z,13764
