OBJECTID,VAR_ROUTE,VAR_IDENT,VAR_DESCR,VAR_DIREC,MetroCategory,MetroBusType,RouteNumber,RouteName,TOOLTIP,NLA_URL
1, 603,N1,END TO END,0,ComCirc,Metro Shuttles and Circulators,603,603 Glendale-Grand Sta Via San Fernando-Rampart-Hoover,603 Glendale-Grand Sta Via San Fernando-Rampart-Hoover\nType: Metro Shuttles and Circulators,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
2, 603,S1,END TO END,1,ComCirc,Metro Shuttles and Circulators,603,603 Glendale-Grand Sta Via San Fernando-Rampart-Hoover,603 Glendale-Grand Sta Via San Fernando-Rampart-Hoover\nType: Metro Shuttles and Circulators,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
3, 605,N1,END TO END,0,ComCirc,Metro Shuttles and Circulators,605,605 Lac+usc Med Ctr Out Patient - Olympic Bl Shuttle,605 Lac+usc Med Ctr Out Patient - Olympic Bl Shuttle\nType: Metro Shuttles and Circulators,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
4, 605,S1,END TO END,1,ComCirc,Metro Shuttles and Circulators,605,605 Lac+usc Med Ctr Out Patient - Olympic Bl Shuttle,605 Lac+usc Med Ctr Out Patient - Olympic Bl Shuttle\nType: Metro Shuttles and Circulators,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
5, 607,A2,New Clockwise Loop,8,ComCirc,Metro Shuttles and Circulators,607,607 Windsor Hills - Inglewood Shuttle,607 Windsor Hills - Inglewood Shuttle\nType: Metro Shuttles and Circulators,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
6, 611,E1,CLOCKWISE,8,ComCirc,Metro Shuttles and Circulators,611,611 Huntington Park Shuttle,611 Huntington Park Shuttle\nType: Metro Shuttles and Circulators,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
7, 611,W1,COUNTER CLOCKWISE,9,ComCirc,Metro Shuttles and Circulators,611,611 Huntington Park Shuttle,611 Huntington Park Shuttle\nType: Metro Shuttles and Circulators,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
8, 612,CO,END TO END,9,ComCirc,Metro Shuttles and Circulators,612,612 South Gate Shuttle,612 South Gate Shuttle\nType: Metro Shuttles and Circulators,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
9, 612,S2,END TO END,8,ComCirc,Metro Shuttles and Circulators,612,612 South Gate Shuttle,612 South Gate Shuttle\nType: Metro Shuttles and Circulators,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
10, 620,C1,End to End   Via  Indiana Station,9,ComCirc,Metro Shuttles and Circulators,620,620 Boyle Heights Shuttle,620 Boyle Heights Shuttle\nType: Metro Shuttles and Circulators,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
11, 620,C2,6TH ST AR LV,9,ComCirc,Metro Shuttles and Circulators,620,620 Boyle Heights Shuttle,620 Boyle Heights Shuttle\nType: Metro Shuttles and Circulators,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
12, 620,C3,6TH ST AR LV TO CESSTA,9,ComCirc,Metro Shuttles and Circulators,620,620 Boyle Heights Shuttle,620 Boyle Heights Shuttle\nType: Metro Shuttles and Circulators,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
13, 625,E1,WWW TO AVIA ST,2,ComCirc,Metro Shuttles and Circulators,625,625 Metro Green Line Shuttle,625 Metro Green Line Shuttle\nType: Metro Shuttles and Circulators,"http://www.metro.net/riding/maps/?nla_target=1&nla_win=p,75,75"
