name,state_name,state_fips,cnty_fips,fips,population,white,black,ameri_es,asian,hawn_pi,hispanic,other,mult_race,ave_hh_sz,hsehld_1_m,hsehld_1_f,marhh_chd,marhh_no_c,mhh_child,fhh_child,families,ave_fam_sz,hse_units,vacant,owner_occ,renter_occ,no_farms12,ave_size12,crop_acr12,ave_sale12,sqmi,no_farms17,ave_size17,crop_acr17,ave_sale17,shape_length,shape_area
Alameda,California,06,001,06001,1632804,649122,190451,9799,394560,12802,339889,162540,90997,2.7,62350,79576,130014,123671,14625,41773,352423,3.3,582549,37411,291242,253896,452.0,393.0,20347.0,127261.0,744.06,446.0,411.0,17276.0,103507.0,3.8503325139560056,0.1967415981942045
Alpine,California,06,003,06003,1109,881,0,240,7,0,84,19,28,2.32,89,57,82,149,19,28,297,2.92,1760,1263,357,140,3.0,0.0,563.0,88444.0,743.6,6.0,529.0,0.0,0.0,2.1740367736409905,0.19915478448334664
Amador,California,06,005,06005,40533,33149,962,678,419,77,4756,1450,1356,2.3,1688,2215,2315,5548,384,724,9793,2.75,18032,3463,10883,3686,461.0,337.0,16022.0,69345.0,606.02,482.0,377.0,14646.0,64376.0,2.928249615746678,0.1619730229934133
Butte,California,06,007,06007,210520,180096,3415,4395,9057,452,31116,12141,10444,2.45,10850,13570,14642,22980,2804,6466,52529,2.99,95835,8217,50991,36627,2056.0,185.0,227279.0,263265.0,1677.42,1912.0,182.0,214211.0,274139.0,4.291831779886891,0.4560187521982328
Calaveras,California,06,009,06009,48292,40522,383,689,571,79,4703,1534,1800,2.39,2237,2430,3211,7419,463,989,13039,2.81,27925,9039,14520,4366,663.0,320.0,6059.0,39222.0,1036.54,699.0,343.0,14848.0,39249.0,3.024186089941634,0.27613365782463195
Colusa,California,06,011,06011,22365,13854,195,419,281,68,11804,5838,764,3.0,726,749,2180,1853,270,556,5286,3.5,7883,827,4318,2738,782.0,579.0,285689.0,738251.0,1156.42,751.0,608.0,277474.0,737572.0,3.2406974902717938,0.3122149311106914
Contra Costa,California,06,013,06013,1134866,614512,97161,6122,151469,4845,255560,112691,62225,2.77,34478,50577,99001,100020,10989,28421,265280,3.26,400263,24899,251904,123460,602.0,212.0,46531.0,148436.0,759.66,459.0,339.0,41481.0,181326.0,3.0737447019585424,0.20159557795563107
Del Norte,California,06,015,06015,28497,21098,993,2244,965,32,5093,1980,1298,2.5,1278,1510,1748,2712,402,884,6379,3.05,11186,1279,6114,3793,121.0,0.0,8609.0,294639.0,1013.67,90.0,220.0,7878.0,482112.0,3.175457631189967,0.2841624848457644
El Dorado,California,06,017,06017,196646,156793,1409,2070,6297,294,21875,7278,6917,2.55,7357,8143,16104,24168,1975,3803,49718,2.99,88159,17936,51391,18832,1358.0,95.0,11130.0,22465.0,1786.41,1390.0,65.0,8420.0,17650.0,3.823922590195994,0.4796398684341164
Fresno,California,06,019,06019,1010344,515145,49523,15649,89357,1405,468070,217085,42286,3.15,25309,32003,79406,65116,13201,33947,214445,3.63,315531,26140,158691,130700,5683.0,303.0,1153351.0,875073.0,6011.15,4774.0,345.0,1142664.0,1202926.0,9.161191738437358,1.5711982557035058
Glenn,California,06,021,06021,29010,19990,231,619,722,24,10539,5522,1014,2.84,1024,1156,2575,2782,395,774,7114,3.32,10778,978,6100,3700,1311.0,510.0,274310.0,486165.0,1327.02,1173.0,398.0,265050.0,536012.0,3.3600319057764403,0.360407787864936
Humboldt,California,06,023,06023,139364,109920,1505,7726,2944,352,13211,5003,7173,2.31,8769,9055,8292,13319,2189,4071,31079,2.91,61559,5528,30820,25211,930.0,638.0,20936.0,218559.0,3582.96,849.0,731.0,20618.0,267840.0,6.306463614721897,0.9887649056461271
Imperial,California,06,025,06025,179185,102553,5773,3059,2843,165,140271,52413,7722,3.34,4091,4277,15665,10748,1971,6703,39170,3.76,56067,6941,27465,21661,421.0,1225.0,487892.0,4486079.0,4480.89,396.0,1317.0,504037.0,4696156.0,5.036692019364806,1.1202608605772424
