num,lat,lon,address,zip_code,building_name,occupancy,code,stories,yrblt,sqft,hazus,level,bldvalue,adjvalue,multiplier,contents,combined,day,night,assessor,Type,Update
1,34.03616,-118.26004,100 E PICO BLVD,90015,,Industrial,IND2,2,1946,12690,C2L,PC,936776,2402362,1.5,3603542,6005904,63,4,C5B,,
2,34.03134,-118.22999,1000 S SANTA FE AVE,90021,,Industrial,IND2,5,1917,62060,C2M,PC,4878537,12511007,1.5,18766511,31277518,310,19,CX,,
3,34.03594,-118.25172,1001 S SAN PEDRO ST,90015,,Industrial,COM2,2,1909,9516,C2L,PC,538415,1380766,1,1380766,2761532,10,0,CX,,
4,34.03594,-118.25172,1001 S SAN PEDRO ST,90015,,Industrial,COM2,2,1911,9764,C2L,PC,552447,1416751,1,1416751,2833501,10,0,CX,,
5,34.03594,-118.25172,1001 S SAN PEDRO ST,90015,,Industrial,COM2,2,1914,14120,C2L,PC,798910,2048804,1,2048804,4097607,14,0,CX,,
6,34.06235,-118.44544,1001 WESTWOOD BLVD,90024,,Commercial,COM1,2,1942,17624,C3L,LC,1248484,3201738,1,3201738,6403475,176,0,BX,,
7,34.25232,-118.58426,10027 LURLINE AVE,91311,Chatsworth,School,EDU1,1,,30000,C2L,LC,2706600,6941076,1,6941076,13882151,600,0,"C2 w/ diaphragms consist of wood sheathing, or have large aspect ratios",,
8,34.25232,-118.58426,10027 LURLINE AVE,91311,Chatsworth,School,EDU1,1,,38600,C2L,LC,3482492,8930851,1,8930851,17861701,772,0,"C2 w/ diaphragms consist of wood sheathing, or have large aspect ratios",,
9,34.08957,-118.32989,1006 COLE AVE,90038,,Industrial,IND1,3,1951,12796,C3L,LC,1005894,2579614,1.5,3869421,6449035,38,4,B7A,,
10,34.08957,-118.32989,1006 COLE AVE,90038,,Industrial,IND1,2,1948,13092,C2L,LC,966451,2478465,1.5,3717697,6196162,39,4,C7A,,
11,34.08957,-118.32989,1006 COLE AVE,90038,,Industrial,IND1,2,1966,14204,C2L,LC,1048539,2688979,1.5,4033468,6722447,43,4,C7A,,
12,34.08957,-118.32989,1006 COLE AVE,90038,,Industrial,IND1,2,1938,24042,C2L,PC,1774780,4551424,1.5,6827137,11378561,72,7,C7B,,
13,34.08957,-118.32989,1006 COLE AVE,90038,,Industrial,IND1,3,1930,40815,C2L,PC,3208467,8228114,1.5,12342171,20570285,122,12,C7C,,
14,34.03932,-118.25622,1009 S LOS ANGELES ST,90015,,Office,COM4,4,1966,37302,C3M,LC,3830542,9823426,1,9823426,19646852,149,0,BXB,,
15,34.07375,-118.28679,101 N VIRGIL AVE,90004,,Warehouse,COM2,1,1946,5750,C2L,LC,325335,834322,1,834322,1668643,6,0,C5B,,
16,34.04234,-118.20746,101 S FICKETT ST,90033,East Los Angeles Convalescent,Nursing home,RES6,2,1930,25663,C2L,PC,2684863,3786932,0.5,1893466,5680398,51,77,CX,,
17,34.04688,-118.24877,101 W 5TH ST,90013,,Hotel,RES4,12,1912,190841,C2H,PC,17837908,25159924,0.5,12579962,37739886,115,477,CX,,
18,34.25366,-118.59285,10100 VARIEL AVE,91311,Ernest Lawrence MS,School,EDU1,1,,2400,C2L,LC,216528,555286,1,555286,1110572,48,0,PC1 w/ diaphragms stiff relative to the walls,,
19,34.25366,-118.59285,10100 VARIEL AVE,91311,Ernest Lawrence MS,School,EDU1,1,,3200,C2L,LC,288704,740381,1,740381,1480763,64,0,PC1 w/ diaphragms stiff relative to the walls,,
20,34.25366,-118.59285,10100 VARIEL AVE,91311,Ernest Lawrence MS,School,EDU1,1,,25400,C3L,LC,2291588,5876777,1,5876777,11753555,508,0,RC FRAME WITH SHEAR WALLS,,
21,34.04405,-118.26305,1011 S FLOWER ST,90015,,Office,COM4,11,1925,227411,C3H,PC,20059924,51443676,1,51443676,102887352,910,0,BXC,,
22,34.03868,-118.25524,1012 S SANTEE ST,90015,,Industrial,IND2,4,1929,26400,C3M,PC,2075304,5322117,1.5,7983176,13305293,132,8,B55B,,
23,34.03926,-118.2563,1013 S LOS ANGELES ST,90015,Jonathan Martin Building,Industrial,IND2,13,1925,99192,C3H,PC,7797483,19996645,1.5,29994968,49991614,496,30,AX,,
24,34.08948,-118.3386,1014 N HIGHLAND AVE,90038,,Commercial,COM1,1,1932,7500,C2L,PC,594225,1523890,1,1523890,3047780,75,0,CX,,
25,34.04207,-118.23358,1015 E 4TH PL,90013,,Warehouse,COM2,1,1937,8080,C2L,PC,457166,1172403,1,1172403,2344806,8,0,C5A,,
26,34.02549,-118.20242,1015 S LORENA ST,90023,Lorena Street Elementary School.,INSTITUTIONAL,EDU1,2,,40000,C2L,LC,3608800,9254768,1,9254768,18509535,800,0,,,
27,34.00367,-118.29233,1016 W VERNON AVE,90037,,Industrial,IND2,1,1923,7130,C3L,PC,526337,1349790,1.5,2024685,3374476,36,2,B6B,,
28,34.04189,-118.23339,1019 E 4TH PL,90013,,Warehouse,COM2,5,1937,8080,C2M,PC,457166,1172403,1,1172403,2344806,8,0,C5A,,
29,34.03862,-118.25523,1020 S SANTEE ST,90015,,Industrial,IND2,8,1921,50664,C3H,PC,3982697,10213627,1.5,15320440,25534066,253,15,BXB,,
30,34.04982,-118.41096,10201 W PICO BLVD,90064,,Industrial,IND1,1,1929,1374,C3L,PC,101429,260114,1.5,390171,650285,4,0,BX,,
31,34.04982,-118.41096,10201 W PICO BLVD,90064,,Industrial,IND1,1,1928,2610,C3L,PC,192670,494103,1.5,741154,1235257,8,1,BX,,
32,34.04982,-118.41096,10201 W PICO BLVD,90064,,Industrial,IND1,1,1928,3075,C3L,PC,226997,582133,1.5,873199,1455331,9,1,BX,,
33,34.01983,-118.40046,10202 WASHINGTON BLVD,90232,,Industrial,COM8,1,1916,9480,C3L,PC,1298950,3331156,1,3331156,6662312,57,0,BX,,
34,34.01983,-118.40046,10202 WASHINGTON BLVD,90232,,Industrial,IND1,1,1928,20419,C2L,PC,1507331,3865549,1.5,5798324,9663873,61,6,CX,,
35,34.06063,-118.4199,10203 SANTA MONICA BLVD,90067,,Office,COM4,5,1964,22844,C3M,LC,2260642,5797417,1,5797417,11594834,91,0,BXA,,
36,34.0609,-118.44176,1023 HILGARD AVE,90024,,School,EDU2,3,1963,12700,C3L,LC,1456436,3735030,1.5,5602545,9337575,254,0,BXB,,
37,34.03073,-118.22998,1024 S SANTA FE AVE,90021,,Commercial,COM2,3,1924,21336,C2L,PC,1207191,3095841,1,3095841,6191682,21,0,CX,,
38,34.08985,-118.3386,1025 N HIGHLAND AVE,90038,,Warehouse,COM2,11,1926,149193,C2H,PC,8441340,21647816,1,21647816,43295633,149,0,C6,,
39,34.05946,-118.42073,10250 SANTA MONICA BLVD,90067,Bloomingdales,Shopping Mall,COM1,3,1964,222000,C3L,LC,15881880,40729081,1,40729081,8145816322,20,0,BXA,,
40,34.05137,-118.26257,1026 INGRAHAM ST,90017,,Residential,RES3E,4,1922,21136,C2M,PC,2382661,3360684,0.5,1680342,5041026,25,66,C55,,
41,34.03865,-118.25539,1027 S SANTEE ST,90015,Dept of Water & Power City of Los Angeles,Lifeline,IND2,3,1810,22069,C2L,PC,1734844,4449008,1.5,6673512,1112251911,0,7,"frame, brick infill",,
42,34.02473,-118.28863,1027 W 34TH ST,90089,USC,School,EDU2,1,,20000,C2L,LC,2293600,5881937,1.5,8822906,1470484340,0,0,,,
43,34.04083,-118.25918,1031 S HILL ST,90015,Kit Cartwright Vocational Building,Industrial,IND2,6,1923,46050,C2M,PC,3619991,9283466,1.5,13925198,2320866423,0,14,shear wall,,
44,34.05131,-118.2907,1036 S MENLO AVE,90006,,Residential,RES3F,5,1931,41465,C3M,PC,4513880,6366715,0.5,3183357,9550072,50,129,concrete frame,,
45,34.0617,-118.44546,1041 WESTWOOD BLVD,90024,,Commercial,COM1,2,1929,8360,C2L,PC,592222,1518754,1,1518754,3037509,84,0,C6B,,
46,34.06171,-118.4464,1043 BROXTON AVE,90024,,Theatre,COM9,1,1954,5733,C3L,LC,586773,1504778,1,1504778,3009556,34,0,BXA,,
47,34.04533,-118.41875,10443 W PICO BLVD,90064,,Church,REL1,2,1958,13080,C3L,LC,1492166,2104663,1,2104663,4209327,850,0,BX,,
48,34.06557,-118.43086,10450 WILSHIRE BLVD,90024,,Residential/Condo,RES3F,13,1961,208050,C3H,LC,23237105,32775355,0.5,16387677,4916303225,0,645,B8D,,
49,34.03791,-118.256,1048 S SANTEE ST,90015,,Industrial,IND2,6,1924,49500,C2M,PC,3891195,9978970,1.5,14968454,2494742424,8,15,CX,,
50,33.99761,-118.25723,1050 E 50TH ST,90011,,Recreation,COM8,2,1924,11000,C2L,PC,1507220,3865266,1,3865266,7730531,66,0,CX,,
51,33.79052,-118.29591,1050 PACIFIC COAST HWY,90710,Kaiser Foundation Hospital,Hospital,COM6,1,,20000,C2L,LC,2892000,7416534,1.5,11124801,1854133510,0,40,,,"According to the Kaiser Permanente Southern California, this building is a medical office, not a hospital."
52,34.04025,-118.25812,1050 S BROADWAY,90015,,Office,COM4,10,1925,80800,C2H,PC,7995968,20505660,1,20505660,4101132032,3,0,CX,,
53,34.03335,-118.24897,1050 S STANFORD AVE,90021,,Industrial,IND2,2,1924,114600,C2L,PC,8459772,21695085,1.5,32542628,5423771357,3,34,frame,,
