Country/Other,Cases in the last 7 days,Cases in the preceding 7 days,Weekly Case % Change,Cases in the last 7 days/1M pop,Deaths in the last 7 days,Deaths in the preceding 7 days,Weekly Death % Change,Deaths in the last 7 days/1M pop,Population
Anguilla,48,74,-35,3153,0,1,-100,0,15222
Antigua and Barbuda,77,599,-87,776,1,7,-86,10,99253
Aruba,117,201,-42,1088,0,3,-100,0,107506
Bahamas,99,210,-53,248,11,8,38,28,399381
Barbados,2197,3534,-38,7630,13,9,44,45,287950
Belize,896,1639,-45,2189,10,2,400,24,409410
Bermuda,170,225,-24,2746,2,2,0,32,61902
British Virgin Islands,53,158,-66,1734,1,10,-90,33,30560
Canada,49214,67439,-27,1286,577,803,-28,15,38282599
Caribbean Netherlands,115,209,-45,4320,0,2,-100,0,26621
Cayman Islands,1041,1753,-41,15541,1,1,0,15,66982
Costa Rica,21709,34191,-37,4199,110,126,-13,21,5170087
Cuba,4923,7614,-35,435,19,36,-47,2,11315322
Cura??ao,359,589,-39,2173,6,8,-25,36,165189
Dominica,387,692,-44,5354,4,2,100,55,72278
Dominican Republic,2528,7367,-66,229,14,21,-33,1,11025562
El Salvador,2502,6310,-60,383,43,62,-31,7,6539662
Greenland,156,588,-73,2740,5,1,400,88,56931
Grenada,283,408,-31,2496,1,2,-50,9,113375
Guadeloupe,4088,5568,-27,10214,20,13,54,50,400236
Guatemala,22640,24050,-6,1227,153,132,16,8,18456502
Haiti,223,346,-36,19,7,3,133,0.6,11629505
Honduras,2108,5864,-64,207,0,57,-100,0,10161777
Jamaica,630,1105,-43,211,41,47,-13,14,2982279
Martinique,7051,8502,-17,18813,7,13,-46,19,374790
Mexico,130249,151557,-14,993,2937,3289,-11,22,131144905
Montserrat,0,0,0,0,0,1,-100,0,4997
Nicaragua,104,82,27,15,1,1,0,0.1,6753254
Panama,7484,16583,-55,1691,62,114,-46,14,4425653
Saint Kitts and Nevis,25,23,9,465,2,3,-33,37,53814
Saint Lucia,420,535,-21,2270,9,6,50,49,184998
Saint Martin,53,335,-84,1334,0,2,-100,0,39742
Saint Pierre Miquelon,17,54,-69,2958,0,0,0,0,5748
Sint Maarten,43,87,-51,985,2,2,0,46,43671
St. Barth,48,252,-81,4836,0,0,0,0,9926
St. Vincent Grenadines,9,18,-50,81,2,3,-33,18,111516
Trinidad and Tobago,3154,5238,-40,2242,43,65,-34,31,1406891
Turks and Caicos,18,50,-64,455,1,0,100,25,39572
USA,675200,1236278,-45,2021,12732,15632,-19,38,334172983
